"A","L","beta","chi","h1d","h2d","hmd","psi1d","psi2d","v1","v2","vmd"
"D","2","6","1","5","2","4","4","4","5","2","1"
"D","1","4","1","2","3","3","1","2","3","2","3"
"C","2","6","1","2","2","4","2","5","2","5","2"
"D","1","6","2","1","1","4","5","4","5","2","1"
"B","3","3","1","3","3","2","2","2","5","4","2"
"C","1","3","1","2","4","1","1","1","4","4","2"
"O","1","4","2","1","5","1","2","2","2","3","4"
"O","3","4","1","3","3","1","2","5","1","2","2"
"B","2","5","2","1","5","4","2","2","5","2","1"
"C","2","6","1","5","4","1","3","4","5","3","4"
"C","1","6","2","3","1","4","1","4","4","3","2"
"D","1","5","1","1","3","2","2","3","2","3","2"
"B","1","6","2","4","2","1","3","4","5","5","3"
"O","1","2","1","1","1","2","3","3","5","1","1"
"D","2","6","2","5","5","4","5","4","4","3","1"
"B","1","4","1","1","1","3","3","5","1","3","2"
"D","2","5","2","1","4","4","1","1","3","2","1"
"O","2","1","1","3","5","3","2","5","4","3","4"
"C","2","3","1","4","4","1","4","1","5","4","3"
"C","1","3","1","1","5","4","5","3","3","2","2"
"D","2","1","2","1","4","3","3","1","4","5","4"
"O","2","2","1","5","1","1","3","4","2","3","1"
"C","1","3","2","4","1","1","3","2","5","4","4"
"B","1","4","1","1","5","3","4","5","4","5","1"
"C","1","1","2","1","3","3","4","4","1","2","2"
"O","1","2","2","1","5","4","2","3","2","1","3"
"O","1","6","2","2","4","3","2","2","2","1","2"
"D","1","4","2","3","1","1","5","2","2","1","1"
"B","1","5","2","5","3","1","5","4","3","4","4"
"B","2","3","2","1","2","1","1","3","5","1","1"
"D","1","3","2","2","3","2","2","2","4","2","2"
"D","2","2","2","1","4","4","1","1","5","4","3"
"C","1","1","1","1","5","2","3","4","5","2","2"
"C","1","5","1","5","5","1","5","4","3","5","1"
"D","1","3","2","2","1","4","2","1","4","5","2"
"C","2","1","2","4","3","3","3","1","1","3","4"
"O","2","3","1","3","4","3","2","5","2","2","2"
"O","2","3","1","2","4","3","5","5","4","1","2"
"C","2","3","1","4","4","1","3","1","5","1","4"
"D","2","3","1","1","1","2","5","5","2","1","4"
"D","1","6","1","4","2","3","2","3","5","5","4"
"C","2","2","1","5","3","3","2","4","4","1","1"
"C","2","4","2","3","2","2","4","2","5","1","2"
"D","2","1","1","2","2","3","2","1","4","5","4"
"C","1","3","1","1","1","4","1","3","3","2","1"
"D","2","3","1","2","2","3","2","2","4","2","4"
"O","1","2","1","3","5","2","1","1","5","5","2"
"D","3","5","1","2","1","3","2","2","2","5","2"
"C","1","6","1","1","1","3","5","1","3","3","1"
"B","1","1","1","5","1","3","3","5","1","5","4"
"O","1","4","1","2","5","2","4","3","1","3","1"
"D","1","4","1","4","3","2","2","5","5","5","2"
"O","2","1","1","3","5","4","4","4","4","2","2"
"C","1","3","1","1","1","4","4","1","2","3","4"
"O","1","1","1","2","1","4","2","1","2","5","1"
"D","2","4","2","1","3","3","2","4","1","4","1"
"C","2","1","1","4","4","1","1","5","3","1","2"
"C","2","5","1","4","2","2","4","4","3","2","2"
"B","3","6","1","5","4","1","2","2","1","2","3"
"D","2","5","1","5","4","4","4","2","1","1","4"
"C","1","5","1","4","4","4","5","3","2","4","4"
"C","2","1","2","3","4","4","2","3","1","1","4"
"C","1","5","1","5","4","2","4","3","3","2","2"
"C","1","6","2","4","3","1","3","3","5","5","4"
"D","1","5","1","2","5","3","5","2","2","3","2"
"B","4","1","1","2","5","2","2","4","3","1","1"
"B","2","2","1","5","1","2","4","4","5","3","4"
"C","1","3","2","4","3","3","4","3","5","1","1"
"D","2","2","1","1","5","4","5","1","5","5","4"
"O","1","3","2","4","2","4","5","5","5","3","3"
"O","1","3","2","1","4","1","2","3","2","3","4"
"O","1","5","2","1","4","2","4","3","3","2","4"
"C","1","6","1","5","4","1","5","3","3","4","4"
"O","1","3","1","2","4","1","3","5","5","5","1"
"O","2","5","1","2","5","3","2","1","3","2","4"
"D","2","5","1","2","3","1","4","2","3","4","4"
"C","1","3","1","2","2","2","4","4","4","5","4"
"O","2","1","1","5","5","4","2","2","5","2","1"
"C","1","6","1","3","1","1","2","2","2","4","2"
"C","1","6","2","1","4","2","4","3","3","1","4"
"O","1","3","1","2","1","4","3","2","1","3","2"
"O","1","1","1","1","5","3","1","1","5","1","2"
"B","1","5","1","3","3","3","4","2","1","4","2"
"C","2","6","2","4","4","4","5","5","3","4","1"
"C","1","1","1","4","1","4","2","4","2","2","1"
"D","4","5","1","1","5","4","2","4","1","4","1"
"C","1","4","1","1","5","2","1","2","5","5","2"
"D","1","1","2","4","2","3","2","3","1","5","2"
"D","1","1","1","4","2","3","3","2","1","1","1"
"O","3","3","1","3","4","1","2","4","4","4","2"
"D","1","4","1","2","3","2","5","1","3","3","1"
"D","2","6","2","4","5","2","2","5","2","1","4"
"B","1","6","2","3","4","2","2","5","1","1","2"
"B","4","5","1","4","1","2","2","1","5","5","2"
"C","1","5","2","3","4","4","3","2","5","2","2"
"D","1","4","1","4","3","2","3","1","2","4","4"
"B","3","6","1","1","1","1","2","3","2","5","1"
"C","1","5","2","2","1","3","2","2","3","3","3"
"C","1","6","2","1","2","2","3","1","1","1","2"
"D","1","4","1","3","2","1","3","2","2","3","2"
"O","2","1","1","3","2","1","3","5","1","3","4"
"C","2","4","1","3","1","1","4","5","1","4","4"
"C","2","4","1","4","1","4","4","4","1","5","4"
"D","2","6","2","1","4","3","5","1","2","5","4"
"D","2","4","2","5","5","1","5","3","5","5","2"
"O","2","5","2","3","1","2","2","5","2","5","4"
"B","2","1","1","3","5","1","1","3","2","2","2"
"C","1","5","1","3","4","3","1","3","3","5","4"
"C","2","4","1","4","4","4","2","5","3","2","4"
"C","1","4","1","1","4","2","2","4","2","4","2"
"D","1","4","2","2","1","1","2","4","2","1","3"
"O","1","3","1","3","4","1","2","5","2","2","4"
"C","1","2","2","4","3","3","3","1","1","4","1"
"C","2","2","1","4","4","3","2","3","2","1","2"
"B","2","2","1","5","3","2","4","4","1","2","1"
"C","2","4","2","2","3","2","2","3","3","1","4"
"C","1","5","1","1","1","4","4","3","3","4","3"
"D","1","5","2","3","1","4","2","1","5","2","4"
"B","1","4","1","5","4","2","3","4","5","1","4"
"O","3","2","1","3","5","3","2","2","1","4","1"
"O","1","4","1","1","4","3","3","4","2","2","3"
"O","1","3","1","1","5","3","3","3","1","1","2"
"C","1","2","1","4","1","3","1","5","5","1","2"
"D","1","6","2","2","3","1","2","1","4","2","1"
"D","2","6","1","5","2","1","2","3","2","5","2"
"C","2","1","1","5","2","3","2","3","4","5","4"
"O","1","2","1","2","2","1","4","4","5","5","2"
"D","1","3","1","1","1","1","5","3","2","2","4"
"C","1","4","1","3","2","3","1","3","2","1","2"
"O","1","2","1","1","1","4","5","1","3","2","3"
"C","1","4","1","3","5","1","5","1","3","2","3"
"O","2","3","1","3","1","2","2","1","2","2","2"
"C","1","4","1","3","5","2","2","5","5","5","4"
"C","2","4","1","2","5","1","4","2","4","5","1"
"O","3","3","1","3","2","2","4","2","5","1","2"
"D","1","2","1","2","5","1","5","1","4","5","2"
"C","2","3","1","2","2","2","4","3","4","1","2"
"B","3","2","2","3","5","3","3","4","1","3","1"
"C","2","4","1","4","4","1","2","1","1","4","2"
"D","2","4","1","1","2","3","2","5","2","5","3"
"C","2","5","1","4","2","4","2","3","5","1","2"
"C","2","4","1","5","1","2","1","5","4","3","1"
"B","1","6","2","5","5","4","1","2","3","5","2"
"B","2","5","1","4","3","2","3","3","5","3","2"
"C","2","5","1","5","2","3","4","2","5","1","1"
"D","2","1","1","5","2","2","3","1","1","1","2"
"C","1","3","2","4","2","3","1","4","3","3","1"
"O","1","3","2","2","2","3","3","3","1","1","2"
"C","1","3","1","2","1","3","3","2","2","5","2"
"B","2","5","1","3","2","1","4","3","1","5","2"
"D","2","5","2","1","4","4","2","5","2","4","1"
"D","3","3","1","4","4","4","2","2","3","4","2"
"D","2","6","2","2","5","3","4","1","4","5","4"
"O","3","2","1","1","4","2","1","5","2","1","3"
"C","2","4","1","4","4","1","1","5","1","4","1"
"C","2","1","1","3","5","2","2","5","4","1","4"
"B","2","4","1","3","2","1","2","4","5","1","2"
"B","2","6","1","3","5","1","4","4","1","2","3"
"C","2","2","1","5","4","3","2","1","3","1","1"
"C","3","6","2","5","1","2","4","2","5","3","2"
"C","2","5","1","2","1","3","3","2","5","2","2"
"D","1","3","1","2","5","4","2","5","5","1","1"
"O","2","2","2","3","5","1","5","5","5","1","2"
"O","1","3","1","1","1","1","5","3","2","2","2"
"C","1","6","1","5","5","3","2","5","4","2","1"
"B","3","6","2","5","5","2","2","5","4","5","4"
"O","1","4","1","2","4","2","2","4","3","1","2"
"D","3","6","1","3","2","3","2","2","3","5","2"
"O","2","4","1","3","1","3","2","3","1","1","2"
"C","2","4","2","4","1","1","4","1","5","1","1"
"D","1","1","2","1","1","1","5","3","2","5","1"
"B","1","1","1","2","1","2","1","5","4","1","2"
"B","3","6","1","4","3","1","2","5","1","2","3"
"B","2","1","2","3","2","3","1","1","3","3","2"
"B","3","2","2","2","2","3","3","3","5","1","4"
"O","2","3","1","4","5","4","3","5","5","1","1"
"C","1","1","1","4","5","3","2","5","2","2","1"
"D","2","5","1","1","2","1","4","3","5","3","3"
"O","2","3","1","5","2","1","2","3","2","5","1"
"O","1","3","1","4","1","1","3","3","1","5","1"
"D","2","3","2","2","3","1","2","2","3","3","4"
"C","2","1","2","4","3","2","2","5","1","2","2"
"D","2","2","1","1","2","3","1","3","3","1","1"
"B","2","3","1","3","2","1","4","1","1","5","4"
"B","2","6","1","3","3","3","2","1","1","2","4"
"O","2","6","2","3","1","1","4","3","1","2","4"
"O","2","6","2","3","1","1","2","1","4","5","4"
"D","2","5","2","3","2","3","4","5","1","5","4"
"B","3","2","1","4","3","1","2","3","2","3","4"
"B","1","4","2","1","2","1","2","1","3","5","1"
"C","1","2","2","1","5","1","2","5","2","2","1"
"C","1","6","2","1","3","4","2","4","1","4","1"
"B","2","1","1","4","2","2","3","3","5","1","2"
"D","2","3","2","1","2","2","3","4","5","5","4"
"C","1","4","1","1","5","2","4","4","1","3","2"
"C","2","1","1","5","1","2","1","3","3","5","1"
"C","1","3","1","5","4","1","1","4","4","4","4"
"O","2","5","1","3","5","3","2","5","2","3","2"
"D","2","1","1","1","4","1","1","1","5","4","3"
"B","2","5","1","3","1","4","5","1","2","5","3"
"D","1","1","2","1","3","3","3","3","1","1","1"
"C","5","4","2","4","4","4","4","4","5","4","1"
"D","3","1","1","5","5","3","4","5","1","1","3"
"C","1","3","1","2","3","3","2","5","4","4","2"
"B","2","5","1","3","2","1","4","3","2","5","2"
"O","1","2","1","4","5","2","3","5","5","5","3"
"O","1","3","2","5","5","1","4","4","4","1","1"
"D","1","1","1","1","4","4","2","5","5","2","4"
"C","2","1","1","5","2","2","4","4","3","5","4"
"C","1","4","2","5","5","2","4","5","1","1","2"
"O","1","5","2","2","4","4","2","4","4","1","4"
"D","2","3","1","1","3","1","3","1","5","4","3"
"C","1","3","2","2","1","3","4","4","4","4","2"
"D","1","1","1","1","2","4","3","4","1","1","4"
"D","1","2","1","2","3","4","4","4","1","1","4"
"B","1","6","2","2","1","4","2","1","2","5","2"
"B","2","6","2","3","2","2","2","3","2","1","2"
"D","2","1","2","5","2","4","2","2","5","3","1"
"C","1","4","2","4","5","4","5","1","5","5","2"
"O","2","3","1","3","2","2","3","5","1","3","2"
"B","3","5","1","5","4","1","5","2","2","1","2"
"D","1","3","1","2","3","2","2","2","1","3","4"
"D","2","6","1","3","5","3","3","3","1","1","3"
"C","2","5","1","1","5","1","3","1","2","4","1"
"C","2","1","1","5","4","4","2","1","4","5","1"
"C","2","4","2","5","1","3","3","3","5","5","1"
"C","2","4","1","3","3","1","3","2","1","4","4"
"D","1","4","1","3","1","2","1","5","2","1","1"
"C","2","4","1","4","1","3","5","1","3","5","4"
"O","1","5","1","2","1","3","5","1","2","1","2"
"D","2","3","2","1","2","1","4","3","2","2","4"
"D","2","6","2","2","2","2","4","4","4","1","4"
"D","1","3","2","1","1","1","1","1","3","3","2"
"D","2","2","1","1","2","2","2","3","2","1","3"
"D","1","4","1","3","2","2","5","4","3","2","4"
"C","2","4","1","4","2","1","2","5","2","1","3"
"D","2","6","1","1","2","2","5","3","3","1","4"
"O","1","4","1","2","5","4","4","1","4","5","2"
"D","2","3","1","2","4","4","4","4","3","2","2"
"C","1","2","1","1","3","3","1","3","5","1","2"
"O","2","3","1","3","3","4","4","2","1","1","4"
"O","3","4","2","2","2","3","5","2","5","1","2"
"B","2","6","1","2","5","4","3","1","3","4","2"
"C","2","3","1","2","4","1","5","1","3","1","4"
"O","1","4","2","3","1","1","2","5","5","5","3"
"D","2","2","1","1","3","1","3","3","1","1","4"
"O","1","2","1","3","4","4","2","5","1","5","3"
"C","2","4","1","3","5","4","3","4","3","1","4"
"C","2","6","1","2","1","1","5","4","4","5","1"
"C","2","2","2","4","5","4","1","2","2","5","2"
"O","1","4","1","2","4","4","2","5","3","4","2"
"D","1","4","1","4","5","4","3","2","5","1","4"
"D","2","2","2","1","1","1","4","2","3","1","4"
"B","2","1","2","5","2","4","3","2","1","2","1"
"D","2","1","1","3","2","1","4","1","1","1","2"
"D","2","3","1","5","3","4","2","5","3","2","1"
"O","2","4","2","5","3","3","4","4","4","3","1"
"O","2","6","2","3","3","2","4","4","1","2","2"
"C","2","6","2","2","2","3","4","3","4","1","2"
"C","5","1","1","5","2","2","2","1","3","1","2"
"D","1","6","1","1","4","3","5","5","2","1","4"
"D","1","1","2","2","3","4","5","3","2","2","2"
"O","2","2","2","3","5","2","2","2","1","4","4"
"C","2","5","1","5","4","4","4","2","3","4","4"
"O","3","2","1","4","5","3","3","2","5","1","2"
"O","1","3","2","1","5","3","1","5","3","3","2"
"C","1","5","1","1","4","4","1","3","1","1","2"
"D","2","1","1","2","2","2","2","5","4","5","1"
"D","2","3","1","5","2","2","4","3","4","3","1"
"O","1","3","1","2","4","2","2","5","3","2","2"
"D","1","2","1","1","2","2","2","3","2","3","2"
"C","1","1","2","2","5","3","2","5","3","1","1"
"C","2","5","1","3","4","2","4","5","4","4","2"
"B","1","5","2","4","1","4","2","5","3","4","2"
"D","1","1","2","1","3","4","3","2","5","4","1"
"O","1","5","1","4","5","4","1","4","3","1","4"
"C","1","3","2","3","1","1","2","4","1","1","1"
"C","2","3","1","2","3","4","5","3","2","2","1"
"O","1","3","1","2","2","1","2","2","5","3","1"
"C","2","5","1","4","2","2","1","1","5","3","2"
"D","2","4","1","5","2","3","5","3","3","3","1"
"B","1","6","2","5","4","3","2","1","3","5","3"
"O","1","6","1","2","2","3","5","1","3","3","2"
"D","1","1","1","2","1","3","3","1","5","1","4"
"D","1","6","1","4","3","2","5","1","5","2","2"
"C","2","3","1","2","4","4","5","5","5","4","4"
"O","1","2","2","2","1","2","3","3","1","1","2"
"B","2","3","2","2","3","3","2","5","2","2","4"
"C","1","4","2","3","4","3","4","1","3","4","4"
"O","2","6","2","5","3","1","1","4","3","4","4"
"C","1","6","2","2","1","4","2","3","4","5","2"
"O","2","1","1","3","2","4","3","2","1","2","4"
"O","1","3","1","1","1","1","2","2","5","3","1"
"O","2","1","1","3","4","1","3","4","1","2","4"
"D","1","4","1","1","3","1","1","5","1","2","1"
"C","1","4","1","1","3","2","2","5","3","4","2"
"O","1","3","1","2","2","3","4","5","3","3","1"
"O","3","3","1","2","5","4","4","3","5","1","3"
"O","1","2","1","1","4","2","2","2","2","4","1"
"D","2","6","1","1","5","3","5","2","2","1","1"
"D","1","2","2","2","3","3","5","3","2","2","3"
"D","1","5","2","4","5","4","5","3","5","2","1"
"C","1","5","1","2","1","2","2","1","4","1","2"
"O","2","1","2","3","1","2","2","2","3","3","2"
"D","2","4","2","4","2","4","4","3","1","3","3"
"D","2","6","1","1","3","3","2","4","2","4","1"
"C","1","6","1","5","5","1","4","2","5","2","3"
"O","3","3","2","3","3","1","5","3","2","2","3"
"C","1","4","1","1","5","1","2","1","4","5","4"
"C","2","3","1","2","3","3","2","5","4","2","2"
"C","1","2","1","1","5","3","1","2","3","2","1"
"C","2","2","2","4","4","4","1","1","5","4","3"
"C","1","4","1","2","2","1","2","2","4","2","2"
"B","2","6","1","1","2","4","1","3","2","1","3"
"O","1","3","1","3","2","1","2","2","2","3","2"
"D","2","2","2","1","2","1","1","3","3","1","3"
"C","1","5","1","2","3","2","4","4","5","2","2"
"O","3","2","1","1","1","3","2","5","2","2","1"
"O","2","2","1","5","3","2","3","5","1","4","4"
"D","1","2","2","1","5","4","4","3","1","3","1"
"O","4","3","1","5","5","2","4","3","4","3","4"
"C","1","1","1","2","5","3","5","2","3","1","1"
"C","1","5","1","1","1","2","3","4","1","3","4"
"B","1","2","1","1","3","3","2","3","2","3","1"
"O","1","3","1","3","1","1","3","2","1","3","2"
"O","1","6","1","4","1","3","4","2","5","5","2"
"B","3","6","1","1","3","2","4","2","3","3","4"
"C","1","3","2","5","3","2","2","5","3","2","4"
"D","1","1","1","4","3","3","4","3","1","2","4"
"O","1","1","1","2","1","1","5","3","2","5","2"
"B","2","2","1","4","2","4","4","3","1","3","1"
"B","2","4","2","3","2","4","2","5","4","5","2"
"D","1","2","1","1","3","3","4","3","1","3","3"
"O","2","1","2","3","4","4","3","1","1","5","2"
"C","1","2","1","1","1","4","3","2","5","5","4"
"O","1","3","2","2","1","1","4","1","2","5","3"
"O","3","5","1","3","5","4","3","3","1","5","4"
"O","3","4","2","5","4","4","5","3","3","5","3"
"B","1","3","1","1","2","2","5","5","3","3","4"
"O","1","2","1","2","3","1","2","4","5","4","2"
"D","2","2","1","1","2","1","2","4","2","1","3"
"D","1","5","2","1","4","2","5","2","1","4","2"
"C","1","6","2","1","3","2","1","4","2","3","2"
"C","5","3","1","3","3","4","1","5","4","4","4"
"D","1","5","1","1","1","2","1","1","2","1","4"
"B","4","4","1","4","5","3","1","2","5","1","3"
"C","2","5","1","4","1","4","2","3","5","1","2"
"C","1","6","1","2","1","3","5","3","4","5","2"
"C","2","5","2","5","4","2","4","3","4","1","4"
"B","1","5","1","3","4","4","4","1","1","4","2"
"C","2","5","2","2","2","3","3","5","2","3","4"
"O","1","4","2","4","2","2","1","2","5","5","1"
"B","3","4","2","2","4","3","5","3","2","2","1"
"O","2","3","2","2","1","2","5","4","4","3","2"
"D","2","6","2","3","4","2","5","5","3","1","3"
"O","1","4","2","4","2","4","1","1","3","1","4"
"D","1","6","1","4","2","4","4","4","3","2","3"
"B","4","4","1","1","5","3","2","1","2","3","1"
"D","1","4","1","1","2","4","3","5","1","5","4"
"B","1","1","2","5","3","2","2","1","1","1","1"
"D","1","1","1","4","3","4","4","3","5","2","2"
"B","1","5","2","3","4","2","4","3","1","2","4"
"C","1","5","1","2","3","4","4","2","5","2","4"
"B","2","5","1","2","3","2","2","3","4","1","4"
"D","2","4","1","1","2","4","4","3","1","3","4"
"D","2","2","2","1","3","4","1","5","3","4","4"
"O","1","5","1","3","3","2","4","1","1","1","2"
"C","1","2","1","4","1","2","1","3","5","1","1"
"C","2","3","1","2","5","3","2","1","4","1","2"
"C","1","2","2","4","5","1","2","4","3","4","3"
"O","2","6","2","3","1","3","2","5","1","2","3"
"C","1","4","1","1","1","3","2","1","2","2","1"
"C","1","6","1","2","3","4","1","1","2","3","4"
"C","2","1","1","2","1","4","4","4","1","2","4"
"B","1","3","1","5","2","1","2","1","5","1","3"
"D","2","6","1","5","3","3","2","2","3","2","1"
"D","2","5","1","1","1","3","2","2","2","5","4"
"C","1","4","1","3","1","1","2","1","1","5","1"
"C","2","4","2","5","1","4","1","2","3","1","2"
"D","3","1","2","2","4","3","2","5","3","5","2"
"D","2","6","1","2","3","2","2","5","4","1","2"
"C","5","5","1","1","3","4","3","4","1","4","2"
"O","1","5","2","2","4","1","1","5","5","2","1"
"C","1","6","1","2","1","2","1","4","5","2","2"
"C","1","4","2","5","5","3","4","1","3","1","3"
"D","2","1","1","3","1","1","5","4","2","5","2"
"B","1","3","2","1","5","3","4","2","1","1","2"
"C","1","5","2","4","1","4","1","1","3","4","3"
"O","2","2","1","3","1","1","2","3","5","5","2"
"O","1","6","1","2","2","2","3","1","2","1","2"
"C","1","5","1","4","2","3","3","4","1","3","1"
"O","1","4","2","4","4","1","2","5","5","5","4"
"C","1","3","2","1","2","1","2","2","2","3","4"
"C","1","2","1","3","2","1","1","5","2","3","2"
"C","2","5","2","2","2","1","5","1","2","1","2"
"D","1","2","1","1","3","3","2","2","2","1","2"
"B","2","5","2","5","2","4","4","4","3","1","1"
"D","2","5","1","1","4","2","3","1","1","4","1"
"D","2","4","1","5","2","3","2","3","4","1","1"
"B","2","5","1","2","1","4","1","1","3","5","4"
"C","1","5","1","1","1","4","3","4","1","4","2"
"C","1","4","1","1","3","3","4","5","1","3","1"
"O","1","1","1","3","1","1","2","2","2","4","2"
"C","2","2","1","4","3","2","3","5","1","3","1"
"D","2","5","2","4","1","2","2","3","5","3","4"
"C","1","6","2","3","3","4","3","2","1","2","2"
"C","2","6","1","4","4","3","1","1","3","5","4"
"C","2","2","1","1","1","3","5","5","3","1","3"
"O","2","3","1","3","1","1","3","4","1","5","4"
"D","1","3","2","1","2","4","3","3","1","5","2"
"O","1","3","1","3","1","3","2","1","2","2","3"
"C","3","4","2","3","4","1","5","3","2","4","1"
"C","1","1","1","4","1","3","5","3","5","2","3"
"B","2","5","1","3","2","1","2","1","2","1","4"
"B","2","3","1","3","3","2","1","4","3","2","2"
"O","1","2","1","2","4","2","5","5","3","1","4"
"B","2","1","1","2","5","3","4","3","1","2","4"
"D","2","4","2","1","1","4","5","4","2","3","1"
"O","1","3","2","1","1","2","3","4","5","3","2"
"C","1","5","1","1","5","4","4","3","1","5","2"
"C","1","3","2","1","2","1","2","2","2","3","2"
"C","1","3","1","5","1","2","3","5","1","1","4"
"O","2","6","1","2","1","4","2","5","2","2","2"
"D","2","1","2","1","5","2","2","1","2","2","3"
"O","1","3","2","2","1","4","4","4","4","2","2"
"D","1","1","1","3","2","4","2","3","1","5","2"
"D","2","1","1","1","5","4","1","2","2","2","1"
"D","2","5","1","1","2","4","3","2","5","1","3"
"C","1","1","1","2","4","2","4","4","3","1","2"
"B","1","3","1","3","1","4","5","5","4","5","4"
"C","2","3","1","2","1","4","3","5","1","5","4"
"O","1","4","1","2","5","3","2","5","4","5","1"
"C","1","6","1","1","4","2","1","1","5","2","3"
"D","2","3","2","3","5","3","5","1","1","3","2"
"O","2","3","2","4","1","4","3","4","5","1","1"
"O","1","4","2","4","4","3","3","5","1","3","1"
"D","2","4","2","3","5","2","2","2","2","3","3"
"C","2","4","1","5","2","4","2","5","5","5","1"
"B","1","5","2","3","2","4","3","4","1","5","2"
"D","1","5","2","1","2","2","2","1","1","1","4"
"B","2","3","2","3","2","4","2","3","5","1","2"
"B","1","5","1","1","2","1","3","4","2","5","4"
"C","1","1","1","3","3","4","2","1","4","2","2"
"D","2","2","1","2","1","4","2","2","2","3","2"
"C","2","3","2","4","1","2","2","2","2","3","4"
"C","3","4","2","3","5","4","4","1","4","2","2"
"C","1","1","1","4","5","3","2","2","1","1","1"
"O","2","5","2","3","2","1","1","3","2","1","3"
"C","2","5","2","5","1","2","2","4","4","1","2"
"O","3","3","2","3","4","3","2","2","2","2","4"
"D","1","3","2","2","3","4","4","1","5","4","4"
"B","5","5","1","2","4","1","2","4","5","4","3"
"C","2","4","1","2","5","2","2","4","1","4","1"
"O","1","5","2","2","5","2","5","3","2","1","1"
"B","3","3","2","2","3","3","2","1","4","5","3"
"B","1","1","2","5","3","1","5","1","4","2","2"
"C","1","3","1","1","1","1","4","4","2","5","3"
"O","1","2","1","4","4","4","5","5","1","1","1"
"C","2","4","1","5","4","1","2","2","1","2","2"
"O","2","6","2","2","2","4","1","1","3","5","1"
"D","2","3","2","2","4","4","5","1","3","1","4"
"C","1","2","1","5","1","1","2","4","5","4","4"
"C","1","4","1","5","5","4","4","5","5","5","4"
"O","1","5","1","4","2","3","1","2","3","1","1"
"B","2","4","1","2","2","1","3","2","2","5","2"
"C","1","4","1","3","5","4","1","2","3","5","2"
"C","1","1","2","4","4","4","5","4","1","5","1"
"D","2","3","2","1","5","4","2","2","2","3","2"
"O","1","6","1","1","4","2","1","1","3","1","4"
"C","1","5","1","2","4","3","1","1","3","4","1"
"C","1","3","2","2","2","2","5","5","4","1","4"
"B","2","5","2","2","5","4","2","1","2","1","2"
"D","2","2","1","2","2","3","1","3","1","1","4"
"B","1","6","1","1","2","2","5","5","3","3","1"
"C","2","1","1","4","2","1","3","2","1","1","2"
"D","1","5","2","2","4","4","1","5","3","5","4"
"D","1","1","2","1","1","2","2","3","3","5","1"
"C","1","3","1","2","3","1","5","4","2","2","1"
"D","2","3","1","5","4","3","5","5","4","4","2"
"C","5","5","1","4","1","2","5","1","1","2","1"
"C","1","5","1","4","5","3","3","3","1","5","4"
"B","3","5","1","5","4","1","4","5","4","4","3"
"C","2","4","1","2","5","2","1","5","3","3","4"
"C","2","1","2","5","5","2","3","2","1","2","1"
"O","1","3","1","3","4","2","2","2","1","1","3"
"O","5","5","2","5","1","4","3","2","1","2","3"
"O","2","5","1","3","1","1","2","1","2","4","4"
"O","2","3","2","2","2","2","2","5","2","2","1"
"D","2","3","1","2","2","4","1","2","3","1","2"
"D","1","3","1","2","5","2","5","4","3","2","2"
"D","2","4","1","5","4","1","2","2","4","1","4"
"B","2","4","2","2","1","4","3","5","4","3","4"
"C","1","4","2","2","3","3","2","5","4","2","3"
"D","1","5","2","2","4","2","2","2","1","4","2"
"D","1","3","2","3","2","4","2","5","5","5","4"
"D","2","4","1","2","5","2","5","1","4","3","2"
"D","1","5","1","1","2","2","5","2","2","3","2"
"C","1","1","2","2","1","4","2","5","4","5","1"
"D","3","3","1","4","1","2","3","5","5","3","4"
"D","2","1","1","1","2","4","1","3","5","1","3"
"C","1","2","2","4","3","1","2","5","3","2","1"
"C","2","4","2","2","1","1","4","3","4","1","1"
"C","1","2","2","2","3","2","5","5","4","1","4"
"D","1","4","1","1","2","2","5","2","2","1","4"
"C","2","6","1","1","1","3","5","3","2","5","4"
"C","1","1","1","3","2","1","2","1","2","5","2"
"C","2","1","1","2","1","1","2","5","4","2","4"
"B","1","3","2","4","5","3","4","4","5","1","1"
"C","1","4","1","1","1","2","3","2","1","3","3"
"C","5","3","1","1","3","2","2","5","5","4","2"
"C","2","2","1","2","4","4","1","1","5","1","2"
"O","2","1","1","3","2","3","5","5","2","1","2"
"B","2","3","1","1","2","2","2","4","3","1","4"
"C","2","4","2","5","1","2","1","3","3","5","2"
"B","2","4","1","2","2","3","4","1","4","3","4"
"C","1","5","1","3","5","3","2","2","1","4","3"
"C","1","2","1","2","4","4","2","1","3","1","2"
"O","1","3","1","4","1","3","2","2","1","3","4"
"C","1","2","1","4","3","4","1","4","5","4","1"
"D","2","4","1","3","1","3","1","5","5","5","4"
"D","3","2","1","3","2","2","3","5","1","1","1"
"C","1","3","2","4","3","1","3","1","5","3","3"
"D","2","2","1","2","5","1","1","3","4","1","1"
"D","2","4","1","1","5","2","5","3","5","5","1"
"C","1","2","1","1","4","2","4","3","1","1","2"
"C","1","6","1","4","2","4","2","5","3","5","2"
"C","1","1","1","2","5","3","3","2","5","1","1"
"D","2","6","1","1","4","1","5","4","3","4","4"
"O","2","5","2","3","1","1","2","1","1","2","2"
"C","2","3","1","4","3","1","1","3","5","2","4"
"D","2","4","1","1","5","3","1","5","2","5","4"
"O","2","6","1","3","1","2","3","5","1","2","2"
"C","2","5","1","5","1","1","3","5","5","1","1"
"O","1","6","1","2","1","4","5","4","5","2","3"
"O","1","5","2","2","2","3","3","4","1","5","2"
"C","2","4","1","4","4","1","4","4","1","2","2"
